Row,Datum,Detail,Program
37,"Thu Apr 09, 2020 08:05 UTC",Soyuz 2.1a | Soyuz MS-16,ISS
98,"Wed Sep 25, 2019 13:57 UTC",Soyuz FG | Soyuz MS-15 (61S),ISS
122,"Sat Jul 20, 2019 16:28 UTC",Soyuz FG | Soyuz MS-13 (59S),ISS
155,"Thu Mar 14, 2019 19:14 UTC",Soyuz FG | Soyuz MS-12 (58S),ISS
186,"Mon Dec 03, 2018 11:31 UTC",Soyuz FG | Soyuz MS-11 (57S),ISS
237,"Wed Jun 06, 2018 11:12 UTC",Soyuz FG | Soyuz MS-09 (55S),ISS
263,"Wed Mar 21, 2018 17:44 UTC",Soyuz FG | Soyuz MS-08 (54S),ISS
294,"Sun Dec 17, 2017 07:21 UTC",Soyuz FG | Soyuz MS-07 (53S),ISS
332,"Sat Aug 12, 2017 21:17 UTC",Soyuz FG | Soyuz MS-06 (52S),ISS
334,"Fri Jul 28, 2017 15:41 UTC",Soyuz FG | Soyuz MS-05 (51S),ISS
360,"Thu Apr 20, 2017 07:13 UTC",Soyuz FG | Soyuz MS-04 (50S),ISS
395,"Thu Nov 17, 2016 20:20 UTC",Soyuz FG | Soyuz MS-03,ISS
402,"Wed Oct 19, 2016 08:05 UTC",Soyuz FG | Soyuz MS-02,ISS
424,"Thu Jul 07, 2016 01:36 UTC",Soyuz FG | Soyuz MS-01,ISS
452,"Fri Mar 18, 2016 21:26 UTC",Soyuz FG | Soyuz TMA-20M,ISS
682,"Fri Jul 08, 2011 15:29 UTC",Space Shuttle Atlantis | STS-135,Space Shuttle Atlantis
687,"Mon May 16, 2011 12:56 UTC",Space Shuttle Endeavour | STS-134,Space Shuttle Endeavour
695,"Thu Feb 24, 2011 21:53 UTC",Space Shuttle Discovery | STS-133,Space Shuttle Discovery
726,"Fri May 14, 2010 18:20 UTC",Space Shuttle Atlantis | STS-132,Space Shuttle Atlantis
733,"Mon Apr 05, 2010 10:21 UTC",Space Shuttle Discovery | STS-131,Space Shuttle Discovery
734,"Fri Apr 02, 2010 04:04 UTC",Soyuz FG | Soyuz TMA-18,ISS
737,"Mon Feb 08, 2010 09:14 UTC",Space Shuttle Endeavour | STS-130,Space Shuttle Endeavour
745,"Mon Nov 16, 2009 19:28 UTC",Space Shuttle Atlantis | STS-129,Space Shuttle Atlantis
756,"Fri Aug 28, 2009 03:59 UTC",Space Shuttle Discovery | STS-128,ISS
762,"Wed Jul 15, 2009 22:03 UTC",Space Shuttle Endeavour | STS-127,ISS
771,"Mon May 11, 2009 18:01 UTC",Space Shuttle Atlantis | STS-125,Space Shuttle Atlantis
779,"Sun Mar 15, 2009 23:43 UTC",Space Shuttle Discovery | STS-119,ISS
791,"Sat Nov 15, 2008 00:55 UTC",Space Shuttle Endeavour | STS-126,ISS
817,"Sat May 31, 2008 21:02 UTC",Space Shuttle Discovery | STS-124,ISS
831,"Tue Mar 11, 2008 06:28 UTC",Space Shuttle Endeavour | STS-123,ISS
834,"Thu Feb 07, 2008 19:45 UTC",Space Shuttle Atlantis | STS-122,ISS
847,"Tue Oct 23, 2007 03:38 UTC",Space Shuttle Discovery | STS-120,ISS
858,"Wed Aug 08, 2007 22:36 UTC",Space Shuttle Endeavour | STS-118,Space Shuttle Endeavour
867,"Fri Jun 08, 2007 23:38 UTC",Space Shuttle Atlantis | STS-117,ISS
891,"Sun Dec 10, 2006 00:47 UTC",Space Shuttle Discovery | STS-116,ISS
905,"Sat Sep 09, 2006 15:14 UTC",Space Shuttle Atlantis | STS-115,Space Shuttle Atlantis
914,"Tue Jul 04, 2006 18:37 UTC",Space Shuttle Discovery | STS-121,ISS
953,"Tue Jul 26, 2005 14:39 UTC",Space Shuttle Discovery | STS-114,Space Shuttle Discovery
1062,"Thu Jan 16, 2003 15:39 UTC",Space Shuttle Columbia | STS-107,Space Shuttle Columbia
1073,"Sun Nov 24, 2002 00:49 UTC",Space Shuttle Endeavour | STS-113,ISS
1076,"Mon Oct 07, 2002 19:45 UTC",Space Shuttle Atlantis | STS-112,Space Shuttle Atlantis
1092,"Wed Jun 05, 2002 21:22 UTC",Space Shuttle Endeavour | STS-111,ISS
1099,"Mon Apr 08, 2002 20:44 UTC",Space Shuttle Atlantis | STS-110,Space Shuttle Atlantis
1105,"Fri Mar 01, 2002 11:22 UTC",Space Shuttle Columbia | STS-109,Space Shuttle Columbia
1118,"Wed Dec 05, 2001 22:19 UTC",Space Shuttle Endeavour | STS-108,ISS
1131,"Fri Aug 10, 2001 21:10 UTC",Space Shuttle Discovery | STS-105,ISS
1137,"Thu Jul 12, 2001 09:03 UTC",Space Shuttle Atlantis | STS-104,Space Shuttle Atlantis
1144,"Thu Apr 19, 2001 18:40 UTC",Space Shuttle Endeavour | STS-100,Space Shuttle Endeavour
1149,"Thu Mar 08, 2001 11:42 UTC",Space Shuttle Discovery | STS-102,ISS
1152,"Wed Feb 07, 2001 23:13 UTC",Space Shuttle Atlantis | STS-98,Space Shuttle Atlantis
1162,"Thu Nov 30, 2000 03:06 UTC",Space Shuttle Endeavour | STS-97,Space Shuttle Endeavour
1172,"Wed Oct 11, 2000 23:17 UTC",Space Shuttle Discovery | STS-92,Space Shuttle Discovery
1179,"Fri Sep 08, 2000 12:45 UTC",Space Shuttle Atlantis | STS-106,Space Shuttle Atlantis
1194,"Fri May 19, 2000 10:11 UTC",Space Shuttle Atlantis | STS-101,Space Shuttle Atlantis
1206,"Fri Feb 11, 2000 16:43 UTC",Space Shuttle Endeavour | STS-99,Space Shuttle Endeavour
1218,"Mon Dec 20, 1999 00:50 UTC",Space Shuttle Discovery | STS-103,Space Shuttle Discovery
1241,"Fri Jul 23, 1999 04:31 UTC",Space Shuttle Columbia | STS-93,Space Shuttle Columbia
1250,"Thu May 27, 1999 10:49 UTC",Space Shuttle Discovery | STS-96,Space Shuttle Discovery
1278,"Fri Dec 04, 1998 08:35 UTC",Space Shuttle Endeavour | STS-88,Space Shuttle Endeavour
1281,"Thu Oct 29, 1998 19:19 UTC",Space Shuttle Discovery | STS-95,Space Shuttle Discovery
1311,"Tue Jun 02, 1998 22:06 UTC",Space Shuttle Discovery | STS-91,Space Shuttle Discovery
1320,"Fri Apr 17, 1998 18:19 UTC",Space Shuttle Columbia | STS-90,Space Shuttle Columbia
1336,"Thu Jan 22, 1998 02:48 UTC",Space Shuttle Endeavour | STS-89,Space Shuttle Endeavour
1350,"Wed Nov 19, 1997 19:46 UTC",Space Shuttle Columbia | STS-87,Space Shuttle Columbia
1364,"Thu Sep 25, 1997 14:34 UTC",Space Shuttle Atlantis | STS-86,Space Shuttle Atlantis
1377,"Thu Aug 07, 1997 14:41 UTC",Space Shuttle Discovery | STS-85,Space Shuttle Discovery
1382,"Tue Jul 01, 1997 18:02 UTC",Space Shuttle Columbia | STS-94,Space Shuttle Columbia
1388,"Thu May 15, 1997 08:07 UTC",Space Shuttle Atlantis | STS-84,Space Shuttle Atlantis
1396,"Fri Apr 04, 1997 19:20 UTC",Space Shuttle Columbia | STS-83,Space Shuttle Columbia
1405,"Tue Feb 11, 1997 08:55 UTC",Space Shuttle Discovery | STS-82,Space Shuttle Discovery
1408,"Sun Jan 12, 1997 09:27 UTC",Space Shuttle Atlantis | STS-81,Space Shuttle Atlantis
1413,"Sat Dec 07, 1996 11:49 UTC",Space Shuttle Columbia | STS-80,Space Shuttle Columbia
1421,"Mon Sep 16, 1996 08:54 UTC",Space Shuttle Atlantis | STS-79,Space Shuttle Atlantis
1439,"Thu Jun 20, 1996 14:49 UTC",Space Shuttle Columbia | STS-78,Space Shuttle Columbia
1443,"Sun May 19, 1996 10:30 UTC",Space Shuttle Endeavour | STS-77,Space Shuttle Endeavour
1454,"Fri Mar 22, 1996 08:13 UTC",Space Shuttle Atlantis | STS-76,Space Shuttle Atlantis
1459,"Thu Feb 22, 1996 20:18 UTC",Space Shuttle Columbia | STS-75,Space Shuttle Columbia
1468,"Thu Jan 11, 1996 09:41 UTC",Space Shuttle Endeavour | STS-72,Space Shuttle Endeavour
1479,"Sun Nov 12, 1995 12:30 UTC",Space Shuttle Atlantis | STS-74,Space Shuttle Atlantis
1485,"Fri Oct 20, 1995 13:53 UTC",Space Shuttle Columbia | STS-73,Space Shuttle Columbia
1489,"Thu Sep 07, 1995 15:09 UTC",Space Shuttle Endeavour | STS-69,Space Shuttle Endeavour
1499,"Thu Jul 13, 1995 13:41 UTC",Space Shuttle Discovery | STS-70,Space Shuttle Discovery
1503,"Tue Jun 27, 1995 19:32 UTC",Space Shuttle Atlantis | STS-71,Space Shuttle Atlantis
1523,"Thu Mar 02, 1995 06:38 UTC",Space Shuttle Endeavour | STS-67,Space Shuttle Endeavour
1524,"Fri Feb 03, 1995 05:22 UTC",Space Shuttle Discovery | STS-63,Space Shuttle Discovery
1542,"Thu Nov 03, 1994 16:59 UTC",Space Shuttle Atlantis | STS-66,Space Shuttle Atlantis
1550,"Fri Sep 30, 1994 11:16 UTC",Space Shuttle Endeavour | STS-68,Space Shuttle Endeavour
1552,"Fri Sep 09, 1994 22:22 UTC",Space Shuttle Discovery | STS-64,Space Shuttle Discovery
1568,"Fri Jul 08, 1994 04:43 UTC",Space Shuttle Columbia | STS-65,Space Shuttle Columbia
1580,"Sat Apr 09, 1994 11:05 UTC",Space Shuttle Endeavour | STS-59,Space Shuttle Endeavour
1584,"Fri Mar 04, 1994 13:53 UTC",Space Shuttle Columbia | STS-62,Space Shuttle Columbia
1590,"Thu Feb 03, 1994 12:10 UTC",Space Shuttle Discovery | STS-60,Space Shuttle Discovery
1598,"Thu Dec 02, 1993 09:27 UTC",Space Shuttle Endeavour | STS-61,Space Shuttle Endeavour
1605,"Mon Oct 18, 1993 14:53 UTC",Space Shuttle Columbia | STS-58,Space Shuttle Columbia
1612,"Sun Sep 12, 1993 11:45 UTC",Space Shuttle Discovery | STS-51,Space Shuttle Discovery
1626,"Mon Jun 21, 1993 13:07 UTC",Space Shuttle Endeavour | STS-57,Space Shuttle Endeavour
1633,"Mon Apr 26, 1993 14:50 UTC",Space Shuttle Columbia | STS-55,Space Shuttle Columbia
1638,"Thu Apr 08, 1993 05:29 UTC",Space Shuttle Discovery | STS-56,Space Shuttle Discovery
1652,"Wed Jan 13, 1993 13:59 UTC",Space Shuttle Endeavour | STS-54,Space Shuttle Endeavour
1660,"Wed Dec 02, 1992 13:24 UTC",Space Shuttle Discovery | STS-53,Space Shuttle Discovery
1671,"Thu Oct 22, 1992 17:09 UTC",Space Shuttle Columbia | STS-52,Space Shuttle Columbia
1677,"Sat Sep 12, 1992 14:23 UTC",Space Shuttle Endeavour | STS-47,Space Shuttle Endeavour
1686,"Fri Jul 31, 1992 13:56 UTC",Space Shuttle Atlantis | STS-46,Space Shuttle Atlantis
1695,"Thu Jun 25, 1992 16:12 UTC",Space Shuttle Columbia | STS-50,Space Shuttle Columbia
1700,"Thu May 07, 1992 23:40 UTC",Space Shuttle Endeavour | STS-49,Space Shuttle Endeavour
1705,"Tue Mar 24, 1992 13:13 UTC",Space Shuttle Atlantis | STS-45,Space Shuttle Atlantis
1716,"Wed Jan 22, 1992 14:52 UTC",Space Shuttle Discovery | STS-42,Space Shuttle Discovery
1724,"Sun Nov 24, 1991 23:44 UTC",Space Shuttle Atlantis | STS-44,Space Shuttle Atlantis
1732,"Thu Sep 12, 1991 23:11 UTC",Space Shuttle Discovery | STS-48,Space Shuttle Discovery
1741,"Fri Aug 02, 1991 15:02 UTC",Space Shuttle Atlantis | STS-43,Space Shuttle Atlantis
1750,"Wed Jun 05, 1991 13:24 UTC",Space Shuttle Columbia | STS-40,Space Shuttle Columbia
1755,"Sun Apr 28, 1991 11:33 UTC",Space Shuttle Discovery | STS-39,Space Shuttle Discovery
1760,"Fri Apr 05, 1991 14:22 UTC",Space Shuttle Atlantis | STS-37,Space Shuttle Atlantis
1779,"Sun Dec 02, 1990 06:49 UTC",Space Shuttle Columbia | STS-35,Space Shuttle Columbia
1787,"Thu Nov 15, 1990 23:48 UTC",Space Shuttle Atlantis | STS-38,Space Shuttle Atlantis
1793,"Sat Oct 06, 1990 11:47 UTC",Space Shuttle Discovery | STS-41,Space Shuttle Discovery
1825,"Tue Apr 24, 1990 12:33 UTC",Space Shuttle Discovery | STS-31,Space Shuttle Discovery
1838,"Wed Feb 28, 1990 07:50 UTC",Space Shuttle Atlantis | STS-36,Space Shuttle Atlantis
1854,"Tue Jan 09, 1990 12:35 UTC",Space Shuttle Columbia | STS-32,Space Shuttle Columbia
1861,"Thu Nov 23, 1989 00:23 UTC",Space Shuttle Discovery | STS-33R,Space Shuttle Discovery
1864,"Wed Oct 18, 1989 16:53 UTC",Space Shuttle Atlantis | STS-34R,Space Shuttle Atlantis
1877,"Tue Aug 08, 1989 12:37 UTC",Space Shuttle Columbia | STS-28R,Space Shuttle Columbia
1891,"Thu May 04, 1989 18:46 UTC",Space Shuttle Atlantis | STS-30R,Space Shuttle Atlantis
1896,"Mon Mar 13, 1989 14:57 UTC",Space Shuttle Discovery | STS-29R,Space Shuttle Discovery
1913,"Fri Dec 02, 1988 14:30 UTC",Space Shuttle Atlantis | STS-27R,Space Shuttle Atlantis
1922,"Thu Sep 29, 1988 15:37 UTC",Space Shuttle Discovery | STS-26R,Space Shuttle Discovery
2079,"Tue Jan 28, 1986 16:38 UTC",Space Shuttle Challenger | STS-51-L,Space Shuttle Challenger
2083,"Sun Jan 12, 1986 11:55 UTC",Space Shuttle Columbia | STS-61-C,Space Shuttle Columbia
2091,"Wed Nov 27, 1985 00:29 UTC",Space Shuttle Atlantis | STS-61-B,Space Shuttle Atlantis
2094,"Wed Nov 06, 1985 17:00 UTC",Space Shuttle Challenger | STS-61-A,Space Shuttle Challenger
2104,"Thu Oct 03, 1985 15:15 UTC",Space Shuttle Atlantis | STS-51-J,Space Shuttle Atlantis
2115,"Tue Aug 27, 1985 10:58 UTC",Space Shuttle Discovery | STS-51-I,Space Shuttle Discovery
2121,"Thu Jul 25, 1985 21:00 UTC",Space Shuttle Challenger | STS-51-F,Space Shuttle Challenger
2129,"Mon Jun 17, 1985 11:33 UTC",Space Shuttle Discovery | STS-51-G,Space Shuttle Discovery
2136,"Mon May 06, 1985 16:02 UTC",Space Shuttle Challenger | STS-51-B,Space Shuttle Challenger
2141,"Fri Apr 12, 1985 13:59 UTC",Space Shuttle Discovery | STS-51-D,Space Shuttle Discovery
2153,"Thu Jan 24, 1985 19:50 UTC",Space Shuttle Discovery | STS-51-C,Space Shuttle Discovery
2168,"Thu Nov 08, 1984 12:15 UTC",Space Shuttle Discovery | STS-51-A,Space Shuttle Discovery
2172,"Fri Oct 05, 1984 11:03 UTC",Space Shuttle Challenger | STS-41-G,Space Shuttle Challenger
2180,"Thu Aug 30, 1984 12:41 UTC",Space Shuttle Discovery | STS-41-D,Space Shuttle Discovery
2210,"Fri Apr 06, 1984 13:58 UTC",Space Shuttle Challenger | STS-41-C,Space Shuttle Challenger
2220,"Fri Feb 03, 1984 13:00 UTC",Space Shuttle Challenger | STS-41-B,Space Shuttle Challenger
2233,"Mon Nov 28, 1983 16:00 UTC",Space Shuttle Columbia | STS-9,Space Shuttle Columbia
2246,"Mon Sep 05, 1983 07:40 UTC",Space Shuttle Challenger | STS-8,Space Shuttle Challenger
2261,"Sat Jun 18, 1983 11:33 UTC",Space Shuttle Challenger | STS-7,Space Shuttle Challenger
2278,"Mon Apr 04, 1983 18:30 UTC",Space Shuttle Challenger | STS-6,Space Shuttle Challenger
2300,"Thu Nov 11, 1982 12:19 UTC",Space Shuttle Columbia | STS-5,Space Shuttle Columbia
2323,"Sun Jun 27, 1982 16:09 UTC",Space Shuttle Columbia | STS-4,Space Shuttle Columbia
2348,"Mon Mar 22, 1982 16:00 UTC",Space Shuttle Columbia | STS-3,Space Shuttle Columbia
2371,"Thu Nov 12, 1981 15:09 UTC",Space Shuttle Columbia | STS-2,Space Shuttle Columbia
2408,"Sun Apr 12, 1981 12:00 UTC",Space Shuttle Columbia | STS-1,Space Shuttle Columbia
3088,"Fri Nov 16, 1973 14:01 UTC",Saturn IB | Skylab 4,Skylab
3123,"Sat Jul 28, 1973 11:10 UTC",Saturn IB | Skylab 3,Skylab
3141,"Fri May 25, 1973 13:00 UTC",Saturn IB | Skylab 2,Skylab
3180,"Tue Dec 19, 1972 19:24 UTC",Saturn V | Apollo 17,Apollo
3243,"Sun Apr 16, 1972 17:54 UTC",Saturn V | Apollo 16,Apollo
3328,"Mon Jul 26, 1971 13:34 UTC",Saturn V | Apollo 15,Apollo
3384,"Sun Jan 31, 1971 21:03 UTC",Saturn V | Apollo 14,Apollo
3475,"Sat Apr 11, 1970 19:13 UTC",Saturn V | Apollo 13,Apollo
3511,"Fri Nov 14, 1969 16:22 UTC",Saturn V | Apollo 12,Apollo
3545,"Wed Jul 16, 1969 13:32 UTC",Saturn V | Apollo 11,Apollo
3560,"Sun May 18, 1969 16:49 UTC",Saturn V | Apollo 10,Apollo
3584,"Mon Mar 03, 1969 16:00 UTC",Saturn V | Apollo 9,Apollo
3603,"Sat Dec 21, 1968 12:51 UTC",Saturn V | Apollo 8,Apollo
3626,"Fri Oct 11, 1968 15:02 UTC",Saturn IB | Apollo 7,Apollo
3826,"Fri Nov 11, 1966 20:46 UTC",Titan II GLV | Gemini XII,Gemini
3845,"Mon Sep 12, 1966 14:42 UTC",Titan II GLV | Gemini XI,Gemini
3858,"Mon Jul 18, 1966 22:20 UTC",Titan II GLV | Gemini X,Gemini
3873,"Fri Jun 03, 1966 13:39 UTC",Titan II GLV | Gemini IX-A,Gemini
3879,"Mon May 16, 1966 16:41 UTC",Titan II GLV | Gemini VIII,Gemini
3918,"Wed Dec 15, 1965 13:37 UTC",Titan II GLV | Gemini VI-A,Gemini
3920,"Sat Dec 04, 1965 19:30 UTC",Titan II GLV | Gemini VII,Gemini
3945,"Sat Aug 21, 1965 13:59 UTC",Titan II GLV | Gemini V,Gemini
3964,"Thu Jun 03, 1965 15:15 UTC",Titan II GLV | Gemini IV,Gemini
3978,"Tue Mar 23, 1965 14:24 UTC",Titan II GLV | Gemini 3,Gemini
4087,"Wed May 15, 1963 13:04 UTC",Atlas-D Mercury | Faith 7 (MA-9),Mercury
4122,"Wed Oct 03, 1962 09:13 UTC",Atlas-D Mercury | Sigma 7 (MA-8),Mercury
4157,"Thu May 24, 1962 12:45 UTC",Atlas-D Mercury | Aurora 7 (MA-7),Mercury
4177,"Tue Feb 20, 1962 14:47 UTC",Atlas-D Mercury | Friendship 7 (MA-6),Mercury
4208,"Fri Jul 21, 1961 12:36 UTC",Mercury-Redstone | Liberty Bell 7 (MR-4),Mercury
4216,"Fri May 05, 1961 14:34 UTC",Mercury-Redstone | Freedom 7 (MR-3),Mercury
