Row,Start,End,Launch Vehicle,Mission,Program,DurationDays,DurationHours,DurationMins,DurationSecs,,,
1336,"Thu Jan 22, 1998 02:48 UTC","Fri Jan 30, 1998 21:48:00 UTC",Endeavour,STS-89,Space Shuttle,08d,19h,0m,0s,,,
1320,"Fri Apr 17, 1998 18:19 UTC","Sun May 03, 1998 15:19:00 UTC",Columbia,STS-90,Space Shuttle,15d,21h,0m,0s,,,
1311,"Tue Jun 02, 1998 22:06 UTC","Fri Jun 12, 1998 17:06:00 UTC",Discovery,STS-91,Space Shuttle,09d,19h,0m,0s,,,
1281,"Thu Oct 29, 1998 19:19 UTC","Sat Nov 07, 1998 16:19:00 UTC",Discovery,STS-95,Space Shuttle,08d,21h,0m,0s,,,
1278,"Fri Dec 04, 1998 08:35 UTC","Wed Dec 16, 1998 03:35:00 UTC",Endeavour,STS-88,Space Shuttle,11d,19h,0m,0s,,,
1250,"Thu May 27, 1999 10:49 UTC","Sun Jun 06, 1999 05:49:00 UTC",Discovery,STS-96,Space Shuttle,09d,19h,0m,0s,,,
1241,"Fri Jul 23, 1999 04:31 UTC","Wed Jul 28, 1999 02:31:00 UTC",Columbia,STS-93,Space Shuttle,04d,22h,0m,0s,,,
1218,"Mon Dec 20, 1999 00:50 UTC","Mon Dec 27, 1999 23:50:00 UTC",Discovery,STS-103,Space Shuttle,07d,23h,0m,0s,,,
1206,"Fri Feb 11, 2000 16:43 UTC","Tue Feb 22, 2000 21:43:00 UTC",Endeavour,STS-99,Space Shuttle,11d,05h,0m,0s,,,
1194,"Fri May 19, 2000 10:11 UTC","Mon May 29, 2000 07:11:00 UTC",Atlantis,STS-101,Space Shuttle,09d,21h,0m,0s,,,
1179,"Fri Sep 08, 2000 12:45 UTC","Wed Sep 20, 2000 07:45:00 UTC",Atlantis,STS-106,Space Shuttle,11d,19h,0m,0s,,,
1172,"Wed Oct 11, 2000 23:17 UTC","Tue Oct 24, 2000 20:17:00 UTC",Discovery,STS-92,Space Shuttle,12d,21h,0m,0s,,,
1170,"Tue Oct 31, 2000 07:52 UTC","Sun May 06, 2001 05:40:00 UTC",Soyuz U,Soyuz TM-31,International Space Station,186d,21h,48m,0s,,,
1162,"Thu Nov 30, 2000 03:06 UTC","Sun Dec 10, 2000 22:06:00 UTC",Endeavour,STS-97,Space Shuttle,10d,19h,0m,0s,,,
1152,"Wed Feb 07, 2001 23:13 UTC","Tue Feb 20, 2001 20:13:00 UTC",Atlantis,STS-98,Space Shuttle,12d,21h,0m,0s,,,
1149,"Thu Mar 08, 2001 11:42 UTC","Wed Mar 21, 2001 06:42:00 UTC",Discovery,STS-102,Space Shuttle,12d,19h,0m,0s,,,
1144,"Thu Apr 19, 2001 18:40 UTC","Tue May 01, 2001 15:40:00 UTC",Endeavour,STS-100,Space Shuttle,11d,21h,0m,0s,,,
1143,"Sat Apr 28, 2001 07:37 UTC","Wed Oct 31, 2001 05:00:00 UTC",Soyuz U,Soyuz TM-32,International Space Station,185d,21h,23m,0s,,,
1137,"Thu Jul 12, 2001 09:03 UTC","Wed Jul 25, 2001 03:03:00 UTC",Atlantis,STS-104,Space Shuttle,12d,18h,0m,0s,,,
1131,"Fri Aug 10, 2001 21:10 UTC","Wed Aug 22, 2001 18:10:00 UTC",Discovery,STS-105,Space Shuttle,11d,21h,0m,0s,,,
1130,"Sat Oct 21, 2001 08:59 UTC","Sun May 05, 2002 03:51:00 UTC",Soyuz U,Soyuz TM-33,International Space Station,195d,18h,52m,0s,,,
1118,"Wed Dec 05, 2001 22:19 UTC","Mon Dec 17, 2001 17:19:00 UTC",Endeavour,STS-108,Space Shuttle,11d,19h,0m,0s,,,
1105,"Fri Mar 01, 2002 11:22 UTC","Tue Mar 12, 2002 09:22:00 UTC",Columbia,STS-109,Space Shuttle,10d,22h,0m,0s,,,
1099,"Mon Apr 08, 2002 20:44 UTC","Fri Apr 19, 2002 15:44:00 UTC",Atlantis,STS-110,Space Shuttle,10d,19h,0m,0s,,,
1098,"Thu Apr 25, 2002 06:26 UTC","Sun Nov 10, 2002 00:04:00 UTC",Soyuz U,Soyuz TM-34,International Space Station,198d,17h,38m,0s,,,
1092,"Wed Jun 05, 2002 21:22 UTC","Wed Jun 19, 2002 17:22:00 UTC",Endeavour,STS-111,Space Shuttle,13d,20h,0m,0s,,,
1076,"Mon Oct 07, 2002 19:45 UTC","Fri Oct 18, 2002 14:45:00 UTC",Atlantis,STS-112,Space Shuttle,10d,19h,0m,0s,,,
1075,"Wed Oct 30, 2002 03:11 UTC","Sun May 04, 2003 02:04:00 UTC",Soyuz FG,Soyuz TMA-1,International Space Station,185d,22h,53m,0s,,,
1073,"Sun Nov 24, 2002 00:49 UTC","Sat Dec 07, 2002 18:49:00 UTC",Endeavour,STS-113,Space Shuttle,13d,18h,0m,0s,,,
1062,"Thu Jan 16, 2003 15:39 UTC","Sat Feb 01, 2003 13:39:00 UTC",Columbia,STS-107,Space Shuttle,15d,22h,0m,0s,,,
1061,"Sat Apr 26, 2003 03:53 UTC","Tue Oct 28, 2003 02:39:00 UTC",Soyuz FG,Soyuz TMA-2,International Space Station,184d,22h,46m,0s,,,
1060,"Sat Oct 18, 2003 05:38 UTC","Fri Apr 30, 2004 00:11:00 UTC",Soyuz FG,Soyuz TMA-3,International Space Station,194d,18h,33m,0s,,,
1059,"Mon Apr 19, 2004 03:19 UTC","Sat Oct 23, 2004 16:41:00 UTC",Soyuz FG,Soyuz TMA-4,International Space Station,187d,13h,22m,0s,,,
1058,"Thu Oct 14, 2004  03:06 UTC","Sun Apr 24, 2005 22:02:00 UTC",Soyuz FG,Soyuz TMA-5,International Space Station,192d,19h,2m,0s,,,
1057,"Fri Apr 15, 2005 00:46 UTC","Tue Oct 11, 2005 00:46:00 UTC",Soyuz FG,Soyuz TMA-6,International Space Station,179d,0h,0m,0s,,,
953,"Tue Jul 26, 2005 14:39 UTC","Tue Aug 09, 2005 11:39:00 UTC",Discovery,STS-114,Space Shuttle,13d,21h,0m,0s,,,
952,"Sat Oct 01, 2005 03:55 UTC","Sat Apr 08, 2006 23:48:00 UTC",Soyuz FG,Soyuz TMA-7,International Space Station,189d,19h,53m,0s,,,
950,"Thu Mar 30, 2006 02:30 UTC","Fri Sep 29, 2006 01:30:00 UTC",Soyuz FG,Soyuz TMA-8,International Space Station,182d,23h,0m,0s,,,
914,"Tue Jul 04, 2006 18:37 UTC","Mon Jul 17, 2006 12:37:00 UTC",Discovery,STS-121,Space Shuttle,12d,18h,0m,0s,,,
905,"Sat Sep 09, 2006 15:14 UTC","Thu Sep 21, 2006 10:14:00 UTC",Atlantis,STS-115,Space Shuttle,11d,19h,0m,0s,,,
904,"Mon Sep 18, 2006 04:08 UTC","Sat Apr 21, 2007 12:30:00 UTC",Soyuz FG,Soyuz TMA-9,International Space Station,215d,8h,22m,0s,,,
891,"Sun Dec 10, 2006 00:47 UTC","Fri Dec 22, 2006 21:47:00 UTC",Discovery,STS-116,Space Shuttle,12d,21h,0m,0s,,,
890,"Sat Apr 07, 2007 17:31 UTC","Sun Oct 21, 2007 10:36:00 UTC",Soyuz FG,Soyuz TMA-10,International Space Station,196d,17h,5m,0s,,,
867,"Fri Jun 08, 2007 23:38 UTC","Fri Jun 22, 2007 19:38:00 UTC",Atlantis,STS-117,Space Shuttle,13d,20h,0m,0s,,,
858,"Wed Aug 08, 2007 22:36 UTC","Tue Aug 21, 2007 16:36:00 UTC",Endeavour,STS-118,Space Shuttle,12d,18h,0m,0s,,,
857,"Wed Oct 10, 2007 13:22 UTC","Sat Apr 19, 2008 08:39:00 UTC",Soyuz FG,Soyuz TMA-11,International Space Station,191d,19h,17m,0s,,,
847,"Tue Oct 23, 2007 03:38 UTC","Wed Nov 07, 2007 05:38:00 UTC",Discovery,STS-120,Space Shuttle,15d,02h,0m,0s,,,
834,"Thu Feb 07, 2008 19:45 UTC","Wed Feb 20, 2008 13:45:00 UTC",Atlantis,STS-122,Space Shuttle,12d,18h,0m,0s,,,
831,"Tue Mar 11, 2008 06:28 UTC","Thu Mar 27, 2008 00:28:00 UTC",Endeavour,STS-123,Space Shuttle,15d,18h,0m,0s,,,
830,"Tue Apr 08, 2008 11:16 UTC","Fri Oct 24, 2008 03:37:00 UTC",Soyuz FG,Soyuz TMA-12,International Space Station,198d,16h,21m,0s,,,
817,"Sat May 31, 2008 21:02 UTC","Sat Jun 14, 2008 15:02:00 UTC",Discovery,STS-124,Space Shuttle,13d,18h,0m,0s,,,
816,"Sun Oct 12, 2008 07:01 UTC","Wed Apr 08, 2009 07:16:00 UTC",Soyuz FG,Soyuz TMA-13,International Space Station,178d,0h,15m,0s,,,
791,"Sat Nov 15, 2008 00:55 UTC","Sun Nov 30, 2008 20:55:00 UTC",Endeavour,STS-126,Space Shuttle,15d,20h,0m,0s,,,
779,"Sun Mar 15, 2009 23:43 UTC","Sat Mar 28, 2009 18:43:00 UTC",Discovery,STS-119,Space Shuttle,12d,19h,0m,0s,,,
775,"Thu Mar 26, 2009 11:49 UTC","Sun Oct 11, 2009 11:49:00 UTC",Soyuz FG,Soyuz TMA-14,International Space Station,199d,0h,0m,0s,,,
771,"Mon May 11, 2009 18:01 UTC","Sun May 24, 2009 15:01:00 UTC",Atlantis,STS-125,Space Shuttle,12d,21h,0m,0s,,,
770,"Wed May 27, 2009 10:35 UTC","Tue Dec 01, 2009 10:35:00 UTC",Soyuz FG,Soyuz TMA-15,International Space Station,188d,0h,0m,0s,,,
762,"Wed Jul 15, 2009 22:03 UTC","Fri Jul 31, 2009 14:03:00 UTC",Endeavour,STS-127,Space Shuttle,15d,16h,0m,0s,,,
756,"Fri Aug 28, 2009 03:59 UTC","Fri Sep 11, 2009 00:59:00 UTC",Discovery,STS-128,Space Shuttle,13d,21h,0m,0s,,,
750,"Wed Sep 30, 2009 07:14 UTC","Thu Mar 18, 2010 06:14:00 UTC",Soyuz FG,Soyuz TMA-16,International Space Station,168d,23h,0m,0s,,,
745,"Mon Nov 16, 2009 19:28 UTC","Fri Nov 27, 2009 14:28:00 UTC",Atlantis,STS-129,Space Shuttle,10d,19h,0m,0s,,,
740,"Sun Dec 20, 2009 21:52 UTC","Wed Jun 02, 2010 21:52:00 UTC",Soyuz FG,Soyuz TMA-17,International Space Station,164d,0h,0m,0s,,,
737,"Mon Feb 08, 2010 09:14 UTC","Mon Feb 22, 2010 03:14:00 UTC",Endeavour,STS-130,Space Shuttle,13d,18h,0m,0s,,,
734,"Fri Apr 02, 2010 04:04 UTC","Sat Sep 25, 2010 04:04:00 UTC",Soyuz FG,Soyuz TMA-18,International Space Station,176d,0h,0m,0s,,,
733,"Mon Apr 05, 2010 10:21 UTC","Tue Apr 20, 2010 13:21:00 UTC",Discovery,STS-131,Space Shuttle,15d,03h,0m,0s,,,
726,"Fri May 14, 2010 18:20 UTC","Wed May 26, 2010 12:20:00 UTC",Atlantis,STS-132,Space Shuttle,11d,18h,0m,0s,,,
720,"Tue Jun 15, 2010 21:35 UTC","Fri Nov 26, 2010 21:35:00 UTC",Soyuz FG,Soyuz TMA-19,International Space Station,164d,0h,0m,0s,,,
719,"Thu Oct 07, 2010 23:10 UTC","Wed Mar 16, 2011 22:10:00 UTC",Soyuz FG,Soyuz TMA-01M,International Space Station,159d,23h,0m,0s,,,
718,"Wed Dec 15, 2010 19:09 UTC","Tue May 24, 2011 02:26:00 UTC",Soyuz FG,Soyuz TMA-20,International Space Station,159d,7h,17m,0s,,,
695,"Thu Feb 24, 2011 21:53 UTC","Wed Mar 09, 2011 16:53:00 UTC",Discovery,STS-133,Space Shuttle,12d,19h,0m,0s,,,
694,"Mon Apr 04, 2011 22:18 UTC","Fri Sep 16, 2011 13:18:00 UTC",Soyuz FG,Soyuz TMA-21,International Space Station,164d,15h,0m,0s,,,
687,"Mon May 16, 2011 12:56 UTC","Wed Jun 01, 2011 06:56:00 UTC",Endeavour,STS-134,Space Shuttle,15d,18h,0m,0s,,,
686,"Tue Jun 07, 2011 20:12 UTC","Tue Nov 22, 2011 02:12:00 UTC",Soyuz FG,Soyuz TMA-02M,International Space Station,167d,6h,0m,0s,,,
682,"Fri Jul 08, 2011 15:29 UTC","Thu Jul 21, 2011 09:29:00 UTC",Atlantis,STS-135,Space Shuttle,12d,18h,0m,0s,,,
681,"Mon Nov 14, 2011 04:14 UTC","Fri Apr 27, 2012 11:14:00 UTC",Soyuz FG,Soyuz TMA-22,International Space Station,165d,7h,0m,0s,,,
680,"Wed Dec 21, 2011 13:16 UTC","Sun Jul 01, 2012 08:16:00 UTC",Soyuz FG,Soyuz TMA-03M,International Space Station,192d,19h,0m,0s,,,
679,"Tue May 15, 2012 03:01 UTC","Mon Sep 17, 2012 03:01:00 UTC",Soyuz FG,Soyuz TMA-04M,International Space Station,125d,0h,0m,0s,,,
678,"Sun Jul 15, 2012 02:40 UTC","Mon Nov 19, 2012 01:40:00 UTC",Soyuz FG,Soyuz TMA-05M,International Space Station,126d,23h,0m,0s,,,
677,"Thu Oct 23, 2012 10:51 UTC","Sat Mar 16, 2013 03:51:00 UTC",Soyuz FG,Soyuz TMA-06M,International Space Station,143d,17h,0m,0s,,,
676,"Wed Dec 19, 2012 12:12 UTC","Tue May 14, 2013 02:12:00 UTC",Soyuz FG,Soyuz TMA-07M,International Space Station,145d,14h,0m,0s,,,
675,"Thu Mar 28, 2013 20:43 UTC","Wed Sep 11, 2013 02:43:00 UTC",Soyuz FG,Soyuz TMA-08M,International Space Station,166d,6h,0m,0s,,,
674,"Tue May 28, 2013 20:31 UTC","Mon Nov 11, 2013 02:31:00 UTC",Soyuz FG,Soyuz TMA-09M,International Space Station,166d,6h,0m,0s,,,
673,"Wed Sep 25, 2013 20:58 UTC","Tue Mar 11, 2014 03:24:00 UTC",Soyuz FG,Soyuz TMA-10M,International Space Station,166d,6h,26m,0s,,,
672,"Thu Nov 07, 2013 04:15 UTC","Wed May 14, 2014 01:59:00 UTC",Soyuz FG,Soyuz TMA-11M,International Space Station,187d,21h,44m,0s,,,
671,"Tue Mar 25, 2014 21:17 UTC","Thu Sep 11, 2014 02:23:00 UTC",Soyuz FG,Soyuz TMA-12M,International Space Station,169d,5h,6m,0s,,,
670,"Wed May 28, 2014 19:57 UTC","Mon Nov 10, 2014 03:58:00 UTC",Soyuz FG,Soyuz TMA-13M,International Space Station,165d,8h,1m,0s,,,
669,"Thu Sep 25, 2014 20:25 UTC","Thu Mar 12, 2015 02:08:00 UTC",Soyuz FG,Soyuz TMA-14M,International Space Station,167d,5h,43m,0s,,,
668,"Sun Nov 23, 2014 21:00 UTC","Thu Jun 11, 2015 13:42:00 UTC",Soyuz FG,Soyuz TMA-15M,International Space Station,199d,16h,42m,0s,,,
667,"Fri Mar 27, 2015 19:43 UTC","Sat Sep 12, 2015 00:52:00 UTC",Soyuz FG,Soyuz TMA-16M,International Space Station,168d,5h,9m,0s,,,
666,"Wed Jul 22, 2015 21:03 UTC","Fri Dec 11, 2015 13:12:00 UTC",Soyuz FG,Soyuz TMA-17M,International Space Station,141d,16h,9m,0s,,,
665,"Wed Sep 02, 2015 04:38 UTC","Wed Mar 02, 2016 04:26:00 UTC",Soyuz FG,Soyuz TMA-18M,International Space Station,181d,23h,48m,0s,,,
664,"Tue Dec 15, 2015 11:03 UTC","Sat Jun 18, 2016 09:14:00 UTC",Soyuz FG,Soyuz TMA-19M,International Space Station,185d,22h,11m,0s,,,
452,"Fri Mar 18, 2016 21:26 UTC","Tue Sep 06, 2016 21:26:00 UTC",Soyuz FG,Soyuz TMA-20M,International Space Station,172d,0h,0m,0s,,,
424,"Thu Jul 07, 2016 01:36 UTC","Sun Oct 30, 2016 01:36:00 UTC",Soyuz FG,Soyuz MS-01,International Space Station,115d,0h,0m,0s,,,
402,"Wed Oct 19, 2016 08:05 UTC","Mon Apr 10, 2017 08:05:00 UTC",Soyuz FG,Soyuz MS-02,International Space Station,173d,0h,0m,0s,,,
395,"Thu Nov 17, 2016 20:20 UTC","Fri Jun 02, 2017 20:20:00 UTC",Soyuz FG,Soyuz MS-03,International Space Station,197d,0h,0m,0s,,,
360,"Thu Apr 20, 2017 07:13 UTC","Sat Sep 02, 2017 07:13:00 UTC",Soyuz FG,Soyuz MS-04 (50S),International Space Station,135d,0h,0m,0s,,,
334,"Fri Jul 28, 2017 15:41 UTC","Thu Dec 14, 2017 15:41:00 UTC",Soyuz FG,Soyuz MS-05 (51S),International Space Station,139d,0h,0m,0s,,,
332,"Sat Sep 12, 2017 21:17 UTC","Tue Feb 27, 2018 21:17:00 UTC",Soyuz FG,Soyuz MS-06 (52S),International Space Station,168d,0h,0m,0s,,,
294,"Sun Dec 17, 2017 07:21 UTC","Sun Jun 03, 2018 07:21:00 UTC",Soyuz FG,Soyuz MS-07 (53S),International Space Station,168d,0h,0m,0s,,,
263,"Wed Mar 21, 2018 17:44 UTC","Wed Oct 03, 2018 17:44:00 UTC",Soyuz FG,Soyuz MS-08 (54S),International Space Station,196d,0h,0m,0s,,,
237,"Wed Jun 06, 2018 11:12 UTC","Thu Dec 20, 2018 11:12:00 UTC",Soyuz FG,Soyuz MS-09 (55S),International Space Station,197d,0h,0m,0s,,,
186,"Mon Dec 03, 2018 11:31 UTC","Mon Jun 24, 2019 11:31:00 UTC",Soyuz FG,Soyuz MS-11 (57S),International Space Station,203d,0h,0m,0s,,,
155,"Thu Mar 14, 2019 19:14 UTC","Wed Oct 02, 2019 19:14:00 UTC",Soyuz FG,Soyuz MS-12 (58S),International Space Station,202d,0h,0m,0s,,,
122,"Sat Jul 20, 2019 16:28 UTC","Wed Feb 05, 2020 16:28:00 UTC",Soyuz FG,Soyuz MS-13 (59S),International Space Station,200d,0h,0m,0s,,,
98,"Wed Sep 25, 2019 13:57 UTC","Fri Apr 17, 2020 13:57:00 UTC",Soyuz FG,Soyuz MS-15 (61S),International Space Station,205d,0h,0m,0s,,,
37,"Thu Apr 09, 2020 08:05 UTC","Wed Oct 21, 2020 08:05:00 UTC",Soyuz 2.1a,Soyuz MS-16,International Space Station,195d,0h,0m,0s,,,
36,"Wed Oct 14, 2020 05:45 UTC","Sat Apr 17, 2021 05:45:00 UTC",Soyuz 2.1a,Soyuz MS-17,International Space Station,185d,0h,0m,0s,,,
30,"Sat May 30, 2020 19:22 UTC","Sun Aug 02, 2020 19:22:00 UTC",SpaceX Dragon 2,DM-2,Commercial Crew Program,64d,0h,0m,0s,,,
29,"Sun Nov 16, 2020 00:27 UTC","Sun Jun 16, 2021 00:30:00 UTC",SpaceX Dragon 2,Crew-1,Commercial Crew Program,180d,0h,0m,0s,,,
